Cluster_ID,Latitude,Longitude,Size_pixels,Area_km2,Risk_Level
130,11.34933,79.01525,4,0.04,MEDIUM
131,11.34484,78.72735,10,0.1,MEDIUM
132,11.34753,78.90942,8,0.08,MEDIUM
133,11.34843,78.66996,3,0.03,MEDIUM
134,11.34484,78.73453,4,0.04,MEDIUM
135,11.34395,79.11749,6,0.06,MEDIUM
136,11.34036,79.04574,10,0.1,MEDIUM
137,11.34126,79.18117,24,0.24,HIGH
138,11.33498,78.60269,29,0.29,HIGH
139,11.29193,78.66188,3179,31.79,HIGH
140,11.33946,79.00359,10,0.1,MEDIUM
141,11.34036,78.74709,4,0.04,MEDIUM
142,11.33767,79.10045,6,0.06,MEDIUM
143,11.33677,79.19013,4,0.04,MEDIUM
144,11.33498,79.16502,4,0.04,MEDIUM
145,11.33318,78.94619,8,0.08,MEDIUM
146,11.33408,78.69955,12,0.12,MEDIUM
147,11.32511,79.07175,37,0.37,HIGH
148,11.33139,78.98206,4,0.04,MEDIUM
149,11.3278,78.79283,10,0.1,MEDIUM
150,11.33049,78.92197,5,0.05,MEDIUM
151,11.33049,79.06637,6,0.06,MEDIUM
152,11.3287,78.9704,5,0.05,MEDIUM
153,11.32152,78.72197,78,0.78,HIGH
154,11.32511,79.16502,12,0.12,MEDIUM
155,11.32332,78.65471,7,0.07,MEDIUM
156,11.32511,79.14798,4,0.04,MEDIUM
157,11.32332,78.8583,7,0.07,MEDIUM
158,11.32242,78.69865,5,0.05,MEDIUM
159,11.32152,78.75516,11,0.11,MEDIUM
160,11.31794,78.60359,31,0.31,HIGH
161,11.31973,79.19372,4,0.04,MEDIUM
162,11.31883,78.91928,7,0.07,MEDIUM
163,11.31704,78.78296,6,0.06,MEDIUM
164,11.31794,78.85202,4,0.04,MEDIUM
165,11.31435,78.79462,4,0.04,MEDIUM
166,11.31525,78.99731,4,0.04,MEDIUM
167,11.31435,79.17668,9,0.09,MEDIUM
168,11.31345,78.97848,12,0.12,MEDIUM
169,11.31345,79.00807,6,0.06,MEDIUM
170,11.31166,79.12556,6,0.06,MEDIUM
171,11.31166,79.14798,8,0.08,MEDIUM
172,11.30987,79.03049,5,0.05,MEDIUM
173,11.30717,79.01973,21,0.21,HIGH
174,11.30359,78.83139,11,0.11,MEDIUM
175,11.30359,78.88161,10,0.1,MEDIUM
176,11.30179,78.95874,22,0.22,HIGH
177,11.3009,78.75695,4,0.04,MEDIUM
178,11.29731,78.9157,32,0.32,HIGH
179,11.3009,78.84305,4,0.04,MEDIUM
180,11.2991,78.76592,4,0.04,MEDIUM
181,11.29103,79.19641,25,0.25,HIGH
182,11.29193,78.81883,15,0.15,MEDIUM
183,11.29013,78.74978,9,0.09,MEDIUM
184,11.29013,78.99372,7,0.07,MEDIUM
185,11.29103,78.86188,4,0.04,MEDIUM
186,11.28924,78.97758,5,0.05,MEDIUM
187,11.28655,79.13722,4,0.04,MEDIUM
188,11.28296,79.02422,10,0.1,MEDIUM
189,11.27937,78.90583,41,0.41,HIGH
190,11.28386,79.10493,5,0.05,MEDIUM
191,11.27399,78.97937,107,1.07,HIGH
192,11.27758,78.87982,37,0.37,HIGH
193,11.27758,78.73722,4,0.04,MEDIUM
194,11.27489,79.00359,48,0.48,HIGH
195,11.27758,79.19821,4,0.04,MEDIUM
196,11.27578,78.74888,13,0.13,MEDIUM
197,11.2722,78.96771,8,0.08,MEDIUM
198,11.2722,79.06457,4,0.04,MEDIUM
199,11.2704,78.9139,11,0.11,MEDIUM
200,11.26682,79.13991,12,0.12,MEDIUM
201,11.26323,79.10314,6,0.06,MEDIUM
202,11.25874,79.15785,11,0.11,MEDIUM
203,11.26143,79.0,4,0.04,MEDIUM
204,11.25874,78.99103,6,0.06,MEDIUM
205,11.25785,78.63946,21,0.21,HIGH
206,11.25605,78.70583,22,0.22,HIGH
207,11.25336,78.76233,37,0.37,HIGH
208,11.24978,79.1704,42,0.42,HIGH
209,11.25695,79.18834,17,0.17,MEDIUM
210,11.25516,78.65022,12,0.12,MEDIUM
211,11.24798,78.94978,64,0.64,HIGH
212,11.25336,79.03946,5,0.05,MEDIUM
213,11.25157,79.11659,9,0.09,MEDIUM
214,11.25336,79.02422,5,0.05,MEDIUM
215,11.24978,78.72466,36,0.36,HIGH
216,11.24978,78.60807,6,0.06,MEDIUM
217,11.24798,79.13543,9,0.09,MEDIUM
218,11.23812,78.86547,129,1.29,HIGH
219,11.24619,78.91031,7,0.07,MEDIUM
220,11.24081,78.83857,22,0.22,HIGH
221,11.24529,79.14978,5,0.05,MEDIUM
222,11.2426,78.89327,5,0.05,MEDIUM
223,11.2417,78.64843,8,0.08,MEDIUM
224,11.2426,78.69238,6,0.06,MEDIUM
225,11.2417,78.92646,8,0.08,MEDIUM
226,11.23543,78.90762,24,0.24,HIGH
227,11.23722,78.7991,15,0.15,MEDIUM
228,11.23632,78.98924,17,0.17,MEDIUM
229,11.23812,79.0852,6,0.06,MEDIUM
230,11.23812,78.74529,12,0.12,MEDIUM
231,11.23812,79.19821,4,0.04,MEDIUM
